val_loss,train_loss,val_acc,train_acc,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.0165716469000141,0.018293111931230177,0.746936502042332,0.6905259248943972,800.5525486469269,False,1,49acd93f,2023-05-24_15-59-35,1684936775,800.5525486469269,2151271,anakin02,129.241.113.29,800.5525486469269,1
0.015159863208113132,0.017675645974875104,0.7701448199034534,0.7027804855405468,773.4199016094208,False,1,49acd93f,2023-05-24_17-43-00,1684942980,1573.9724502563477,2151183,anakin02,129.241.113.29,773.4199016094208,1
0.01354278755750171,0.014427878945140415,0.7957668028221314,0.7865664020795619,762.9052577018738,False,2,49acd93f,2023-05-24_17-55-43,1684943743,2336.8777079582214,2151183,anakin02,129.241.113.29,1536.3251593112946,2
0.015496976997300767,0.01715205886268474,0.7506498329001114,0.7225084714292346,793.9068529605865,False,1,49acd93f,2023-05-24_19-52-39,1684950759,3130.784560918808,2151271,anakin02,129.241.113.29,793.9068529605865,1
0.014426526068158191,0.015119864696281697,0.7825844782770145,0.7725943461913383,795.9326777458191,False,2,49acd93f,2023-05-24_20-05-55,1684951555,3926.717238664627,2151271,anakin02,129.241.113.29,1589.8395307064056,2
0.0154153400588735,0.014087839803174197,0.7625324916450056,0.7924151696606786,803.9486465454102,False,3,49acd93f,2023-05-24_20-19-19,1684952359,4730.665885210037,2151271,anakin02,129.241.113.29,2393.788177251816,3
0.012975502998533188,0.013360502085678868,0.8158187894541403,0.8027665599034489,793.8834886550903,False,4,49acd93f,2023-05-24_20-32-33,1684953153,5524.549373865128,2151271,anakin02,129.241.113.29,3187.671665906906,4
0.01597950366009933,0.018393882360818275,0.7474935016709989,0.6874622847328599,762.0345025062561,False,1,49acd93f,2023-05-24_21-55-48,1684958148,6286.583876371384,2151183,anakin02,129.241.113.29,762.0345025062561,1
0.014822484946830805,0.015802192899923285,0.7777571481619012,0.753516223367219,758.3441936969757,False,2,49acd93f,2023-05-24_22-08-26,1684958906,7044.928070068359,2151183,anakin02,129.241.113.29,1520.3786962032318,2
0.013999984039058042,0.01415523946788801,0.7838841440772373,0.7887945040152253,763.3948955535889,False,3,49acd93f,2023-05-24_22-21-09,1684959669,7808.322965621948,2151183,anakin02,129.241.113.29,2283.7735917568207,3
0.01436535492843737,0.013509001332986534,0.79242480505013,0.8002599452258274,777.2277500629425,False,4,49acd93f,2023-05-24_22-34-07,1684960447,8585.55071568489,2151183,anakin02,129.241.113.29,3061.001341819763,4
0.014124989374016812,0.01320082602953892,0.7903824730783513,0.8074084389360813,761.4946944713593,False,5,49acd93f,2023-05-24_22-46-48,1684961208,9347.04541015625,2151183,anakin02,129.241.113.29,3822.4960362911224,5
0.013069347296888129,0.01285689277900813,0.811734125510583,0.812235993130019,744.8385784626007,False,6,49acd93f,2023-05-24_22-59-13,1684961953,10091.88398861885,2151183,anakin02,129.241.113.29,4567.334614753723,6
0.013226764082266768,0.0125557804565014,0.8141477905681396,0.8191988116789677,737.9168734550476,False,7,49acd93f,2023-05-24_23-11-31,1684962691,10829.800862073898,2151183,anakin02,129.241.113.29,5305.251488208771,7
0.014144537542285063,0.012449658994543427,0.8026364649090234,0.8171563849046094,739.8381025791168,True,8,49acd93f,2023-05-24_23-23-51,1684963431,11569.638964653015,2151183,anakin02,129.241.113.29,6045.089590787888,8
