val_loss,train_loss,val_acc,train_acc,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.017332718988089947,0.018235185987376206,0.7380245079836614,0.6840737130390382,797.8582594394684,False,1,facbf74e,2023-05-24_16-26-17,1684938377,797.8582594394684,2151271,anakin02,129.241.113.29,797.8582594394684,1
0.015920749316638703,0.017289218506164297,0.7478648347567768,0.7206053010258553,811.511470079422,False,1,facbf74e,2023-05-24_18-25-26,1684945526,1609.3697295188904,2151271,anakin02,129.241.113.29,811.511470079422,1
0.013531342718710123,0.014190770247484689,0.7966951355365763,0.7881446409506568,799.723046541214,False,2,facbf74e,2023-05-24_18-38-46,1684946326,2409.0927760601044,2151271,anakin02,129.241.113.29,1611.234516620636,2
0.014919377618558868,0.01690156902395594,0.7764574823616784,0.7284036578006777,770.3356125354767,False,1,facbf74e,2023-05-24_20-15-04,1684952104,3179.428388595581,2151183,anakin02,129.241.113.29,770.3356125354767,1
0.0132483122265122,0.014530954890716421,0.810991459339027,0.7829921552244349,761.6259875297546,False,2,facbf74e,2023-05-24_20-27-46,1684952866,3941.0543761253357,2151183,anakin02,129.241.113.29,1531.9616000652313,2
0.013892293413509635,0.013492949301085477,0.7955811362792424,0.8034628417583438,739.6391587257385,False,3,facbf74e,2023-05-24_20-40-05,1684953605,4680.693534851074,2151183,anakin02,129.241.113.29,2271.60075879097,3
0.013074095582612332,0.013100365473274202,0.8161901225399183,0.8094972845007659,734.173348903656,False,4,facbf74e,2023-05-24_20-52-19,1684954339,5414.86688375473,2151183,anakin02,129.241.113.29,3005.774107694626,4
0.013656614252151365,0.01286743241534981,0.7985518009654661,0.8143712574850299,766.1068134307861,False,5,facbf74e,2023-05-24_21-05-06,1684955106,6180.973697185516,2151183,anakin02,129.241.113.29,3771.880921125412,5
0.013219295665096095,0.012748238478636324,0.7976234682510212,0.8139999071624193,760.5889773368835,False,6,facbf74e,2023-05-24_21-17-46,1684955866,6941.5626745224,2151183,anakin02,129.241.113.29,4532.4698984622955,6
0.012679886591620398,0.012610661931197933,0.818232454511697,0.81752773522722,757.4498946666718,False,7,facbf74e,2023-05-24_21-30-24,1684956624,7699.012569189072,2151183,anakin02,129.241.113.29,5289.919793128967,7
0.012064588217101397,0.012507381655792172,0.8288154474563684,0.8211484008726733,761.8237829208374,False,8,facbf74e,2023-05-24_21-43-05,1684957385,8460.836352109909,2151183,anakin02,129.241.113.29,6051.743576049805,8
0.01737854239934446,0.01723824591184677,0.720386186409209,0.7181451051385601,755.4667472839355,False,1,facbf74e,2023-05-24_23-36-30,1684964190,9216.303099393845,2843132,anakin02,129.241.113.29,755.4667472839355,1
0.01393045326490806,0.014127009861627418,0.7874118083921278,0.788887341595878,740.9595079421997,False,2,facbf74e,2023-05-24_23-48-51,1684964931,9957.262607336044,2843132,anakin02,129.241.113.29,1496.4262552261353,2
0.014283272261031712,0.013355151404689482,0.7937244708503528,0.8066193195005338,742.8823511600494,False,3,facbf74e,2023-05-25_00-01-14,1684965674,10700.144958496094,2843132,anakin02,129.241.113.29,2239.3086063861847,3
0.013414617850574205,0.012996562365142492,0.8056071295952469,0.8127930186139349,744.7622148990631,False,4,facbf74e,2023-05-25_00-13-39,1684966419,11444.907173395157,2843132,anakin02,129.241.113.29,2984.070821285248,4
0.013594083399454811,0.012774184879495014,0.8017081321945785,0.8159959151464513,738.7997467517853,False,5,facbf74e,2023-05-25_00-25-57,1684967157,12183.706920146942,2843132,anakin02,129.241.113.29,3722.870568037033,5
0.012777534780717454,0.012498947355771903,0.8163757890828073,0.8203128626467995,741.9783964157104,False,6,facbf74e,2023-05-25_00-38-19,1684967899,12925.685316562653,2843132,anakin02,129.241.113.29,4464.8489644527435,6
0.012551294237851124,0.012369126323559531,0.818418121054586,0.8215661699856102,744.4640905857086,False,7,facbf74e,2023-05-25_00-50-44,1684968644,13670.149407148361,2843132,anakin02,129.241.113.29,5209.313055038452,7
0.013082563431675532,0.012263869519757841,0.8148904567396955,0.8247690665181265,749.225466966629,False,8,facbf74e,2023-05-25_01-03-13,1684969393,14419.37487411499,2843132,anakin02,129.241.113.29,5958.538522005081,8
0.012625327553064726,0.012077234234090736,0.8167471221685852,0.8293181079701063,723.4658493995667,False,9,facbf74e,2023-05-25_01-15-17,1684970117,15142.840723514557,2843132,anakin02,129.241.113.29,6682.004371404648,9
0.012824453806350366,0.01192262117308129,0.8163757890828073,0.8285754073248851,733.8822047710419,False,10,facbf74e,2023-05-25_01-27-30,1684970850,15876.722928285599,2843132,anakin02,129.241.113.29,7415.88657617569,10
0.01316746229404771,0.011673827105587098,0.811177125881916,0.834284918535023,731.1443235874176,False,11,facbf74e,2023-05-25_01-39-42,1684971582,16607.867251873016,2843132,anakin02,129.241.113.29,8147.030899763107,11
0.014699884815880944,0.011731907565552882,0.7913108057927961,0.8364201828900338,729.3625214099884,False,12,facbf74e,2023-05-25_01-51-51,1684972311,17337.229773283005,2843132,anakin02,129.241.113.29,8876.393421173096,12
0.013847898740308949,0.011430602909263305,0.8069067953954697,0.8366986956319918,722.9302632808685,False,13,facbf74e,2023-05-25_02-03-54,1684973034,18060.160036563873,2843132,anakin02,129.241.113.29,9599.323684453964,13
0.01306898395589325,0.011315609768495771,0.8199034533976978,0.8409692243420136,729.2234337329865,False,14,facbf74e,2023-05-25_02-16-03,1684973763,18789.38347029686,2843132,anakin02,129.241.113.29,10328.54711818695,14
